INFO	2022-06-08 10:00:58,459	[basepage.py:36]	打开网页https://www.imymac.com/faqs/
INFO	2022-06-08 10:00:58,562	[basepage.py:96]	点击元素：('css', 'div.faq-list>div:nth-child(1)>p:nth-child(4)')
INFO	2022-06-08 10:00:59,071	[basepage.py:199]	页面滚到元素('css', '#record')
INFO	2022-06-08 10:01:00,344	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:01:00,594	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:01:00,877	[basepage.py:81]	输入文本：contest
INFO	2022-06-08 10:01:00,918	[basepage.py:96]	点击元素：('css', '#record-suggest>a')
INFO	2022-06-08 10:01:00,940	[basepage.py:156]	获取到class元素的值==》record-suggest-name record-error
INFO	2022-06-08 10:01:00,953	[basepage.py:156]	获取到class元素的值==》record-suggest-email record-error
INFO	2022-06-08 10:01:00,967	[basepage.py:156]	获取到class元素的值==》record-suggest-content
INFO	2022-06-08 10:01:00,972	[basepage.py:329]	预期结果: record-suggest-name record-error,实际结果: record-suggest-name record-error, 断言方法：eq, 断言结果：True
INFO	2022-06-08 10:01:00,973	[basepage.py:329]	预期结果: record-suggest-email record-error,实际结果: record-suggest-email record-error, 断言方法：eq, 断言结果：True
INFO	2022-06-08 10:01:00,973	[basepage.py:329]	预期结果: record-suggest-content,实际结果: record-suggest-content, 断言方法：eq, 断言结果：True
