INFO	2022-06-08 10:01:05,660	[basepage.py:36]	打开网页https://www.imymac.com/faqs/
INFO	2022-06-08 10:01:05,776	[basepage.py:96]	点击元素：('css', 'div.faq-list>div:nth-child(1)>p:nth-child(4)')
INFO	2022-06-08 10:01:06,282	[basepage.py:199]	页面滚到元素('css', '#record')
INFO	2022-06-08 10:01:07,625	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:01:07,906	[basepage.py:81]	输入文本：test@test.com
INFO	2022-06-08 10:01:08,183	[basepage.py:81]	输入文本：contest
INFO	2022-06-08 10:01:08,266	[basepage.py:96]	点击元素：('css', '#record-suggest>a')
INFO	2022-06-08 10:01:08,348	[basepage.py:156]	获取到class元素的值==》record-suggest-name record-error
INFO	2022-06-08 10:01:08,457	[basepage.py:156]	获取到class元素的值==》record-suggest-email
INFO	2022-06-08 10:01:08,511	[basepage.py:156]	获取到class元素的值==》record-suggest-content
INFO	2022-06-08 10:01:08,533	[basepage.py:329]	预期结果: record-suggest-name record-error,实际结果: record-suggest-name record-error, 断言方法：eq, 断言结果：True
INFO	2022-06-08 10:01:08,536	[basepage.py:329]	预期结果: record-suggest-email,实际结果: record-suggest-email, 断言方法：eq, 断言结果：True
INFO	2022-06-08 10:01:08,539	[basepage.py:329]	预期结果: record-suggest-content,实际结果: record-suggest-content, 断言方法：eq, 断言结果：True
